gene,gene_name,zscore,effect_size,pvalue,var_g,pred_perf_r2,pred_perf_pval,pred_perf_qval,n_snps_used,n_snps_in_cov,n_snps_in_model
ENSG00000100266.18,PACSIN2,-3.608638083423685,-0.2505311395138376,0.0003078086669762168,0.0075048943751061465,0.153494149022872,7.570318632243778e-08,1.0666475631506798e-07,3,11.0,76
ENSG00000100304.12,TTLL12,3.175496581514367,0.095082759837602,0.0014958028401457154,0.04013784215208546,0.171068750922737,1.159659875824357e-08,1.7266172320651743e-08,2,11.0,35
ENSG00000274717.1,RP1-47A17.1,-3.1747891909653556,-0.19002634962981,0.0014994539295105796,0.010044687098980622,0.297557524145568,4.940246551385494e-15,1.1635730662427562e-14,2,21.0,11
ENSG00000230319.1,AL022476.2,3.17462933793397,0.15612070731880912,0.0015002801232673522,0.014879875863655918,0.123963215628329,1.651440997195944e-06,2.118307955079762e-06,2,11.0,11
ENSG00000159307.18,SCUBE1,3.1729941819606196,1.6225230276248566,0.0015087554786859367,0.00013762302120396737,0.220389328999268,4.948567527283008e-11,8.705234240987224e-11,2,11.0,68
ENSG00000186732.13,MPPED1,2.876327798182831,0.12137598375285598,0.004023316549154212,0.01997257022617398,0.259273336168975,5.340959201157096e-13,1.0775742894209792e-12,4,11.0,49
ENSG00000241954.1,RP1-149A16.17,1.533663207616219,0.03608645760155958,0.12511252962002245,0.0691446298107931,0.130447282572796,8.451463854189807e-07,1.1067852037100334e-06,5,12.0,25
ENSG00000075240.16,GRAMD4,-1.3996305230031618,-0.04104980487016306,0.16162398879434947,0.04312963210700958,0.106209697343129,1.015576735419148e-05,1.2329702755062278e-05,3,11.0,22
ENSG00000100191.5,SLC5A4,-1.368973251691006,-0.02497614489589528,0.17100763624157322,0.12001741439983407,0.32395250347636,1.6936008520856779e-16,4.4144126606987825e-16,6,12.0,65
ENSG00000128313.2,APOL5,-1.3225181287936463,-0.03529419197773801,0.185995676660349,0.07951907081966089,0.195219217709103,8.319341999971373e-10,1.3459784168997528e-09,10,10.0,22
ENSG00000198792.12,TMEM184B,-1.0763876646701496,-0.10458346935583428,0.28175391678302353,0.003852598629678673,0.199087385292265,5.420078074831456e-10,8.884866610446283e-10,2,13.0,65
ENSG00000260708.1,CTA-29F11.1,-0.9570599093156686,-0.06631157261348519,0.33853701736679165,0.00768778425952551,0.159923945190478,3.825435867272013e-08,5.504967723402086e-08,2,11.0,53
ENSG00000100336.17,APOL4,-0.8799618352559371,-0.03849514651993341,0.3788799848089254,0.02893733841130275,0.0646799999968275,0.0006589570557705745,0.0007004277450740442,3,21.0,10
ENSG00000213790.2,OLA1P1,0.7176466584205627,0.09966848633835688,0.47297518081788636,0.0022120836961423873,0.160134770920177,3.7404969782845766e-08,5.386784676564058e-08,1,10.0,40
ENSG00000100162.14,CENPM,-0.7176466584205626,-0.04671540950109078,0.47297518081788636,0.01006924620302482,0.197553223981435,6.425462906711447e-10,1.0465724727329335e-09,1,10.0,40
ENSG00000168135.4,KCNJ4,-0.5716509819030762,-1.2390663787821454,0.5675584491158898,7.840283293775538e-06,0.0632611806904716,0.000759131510819809,0.0008037451395958061,1,13.0,45
ENSG00000205853.10,RFPL3S,0.5511675216246906,0.013683866347916549,0.5815188420779229,0.06848314097464789,0.273143601000568,1.0058610266136065e-13,2.1333913002137156e-13,6,12.0,57
